agent,waktu
Black,0.6888
White,0.5026
Black,0.7505
White,0.5133
Black,0.8413
White,0.5154
Black,0.8668
White,0.5145
Black,0.9551
White,0.5179
Black,0.9723
White,0.5199
Black,0.9868
White,0.5212
Black,0.8890
White,0.5195
Black,1.1136
White,0.5199
Black,0.9545
White,0.5230
Black,1.0063
White,0.5158
Black,0.9255
White,0.5281
Black,0.8772
White,0.5339
Black,0.8742
White,0.5366
Black,0.8051
White,0.5361
Black,0.8013
White,0.5336
Black,0.7717
White,0.5341
Black,0.7425
White,0.5329
Black,0.7306
White,0.5141
Black,0.6959
White,0.5177
Black,0.6374
White,0.5179
Black,0.6694
White,0.5208
Black,0.5892
White,0.5212
Black,0.5718
White,0.5171
Black,0.5660
White,0.5141
Black,0.5609
White,0.5109
Black,0.5320
White,0.5112
Black,0.5275
White,0.5081
Black,0.5073
White,0.5028
Black,0.5086
White,0.5009
