agent,waktu
Black,0.5086
White,0.7038
Black,0.5137
White,0.6908
Black,0.5242
White,1.0093
Black,0.5322
White,0.9638
Black,0.5190
White,0.7378
Black,0.5289
White,0.7759
Black,0.5511
White,0.9121
Black,0.5346
White,1.0203
Black,0.5302
White,0.8932
Black,0.5523
White,0.8476
Black,0.5475
White,0.9468
Black,0.5449
White,1.0379
Black,0.5511
White,0.8019
Black,0.5855
White,0.9775
Black,0.5666
White,0.9129
Black,0.5246
White,0.7995
Black,0.5613
White,0.7491
Black,0.5508
White,0.7295
Black,0.5211
White,0.6977
Black,0.5388
White,0.6967
Black,0.5391
White,0.6315
Black,0.5328
White,0.6500
Black,0.5232
White,0.6257
Black,0.5212
White,0.6000
Black,0.5087
White,0.5739
Black,0.5090
White,0.5661
Black,0.5124
White,0.5544
Black,0.5114
White,0.5236
