agent,waktu
Black,0.5157
White,0.5357
Black,0.5134
White,0.5478
Black,0.5295
White,0.6048
Black,0.5178
White,0.5908
Black,0.5278
White,0.7295
Black,0.5307
White,0.6822
Black,0.5540
White,0.6993
Black,0.5533
White,0.7026
Black,0.5500
White,0.6554
Black,0.5349
White,0.6544
Black,0.5318
White,0.5469
Black,0.5443
White,0.5739
Black,0.5441
White,0.5774
Black,0.5164
White,0.5395
Black,0.5300
White,0.5328
Black,0.5373
White,0.5483
Black,0.5227
White,0.5574
Black,0.5283
White,0.5755
Black,0.5356
White,0.5997
Black,0.5282
White,0.5796
Black,0.5246
White,0.5575
Black,0.5149
White,0.5722
Black,0.5194
White,0.5566
Black,0.5271
White,0.5317
Black,0.5224
White,0.5403
Black,0.5251
White,0.5262
Black,0.5124
White,0.5217
Black,0.5075
White,0.5171
Black,0.5051
White,0.5061
Black,0.5019
