agent,waktu
Black,0.5199
White,0.5109
Black,0.5615
White,0.5150
Black,0.5590
White,0.5112
Black,0.5843
White,0.5126
Black,0.5924
White,0.5131
Black,0.6087
White,0.5230
Black,0.5927
White,0.5118
Black,0.6047
White,0.5206
Black,0.7467
White,0.5336
Black,0.8143
White,0.5210
Black,0.7528
White,0.5352
Black,0.7747
White,0.5182
Black,0.6988
White,0.5245
Black,0.7118
White,0.5331
Black,0.7321
White,0.5154
Black,0.7290
White,0.5248
Black,0.6350
White,0.5211
Black,0.6987
White,0.5221
Black,0.6829
White,0.5144
Black,0.6803
White,0.5241
Black,0.6673
White,0.5211
Black,0.6416
White,0.5178
Black,0.6607
White,0.5176
Black,0.7366
White,0.5107
Black,0.5901
White,0.5089
Black,0.6090
White,0.5112
Black,0.5854
White,0.5129
Black,0.5305
White,0.5086
Black,0.5114
White,0.5054
Black,0.5038
